城市,面积,房龄,楼层,总楼层,距离CBD距离,距离地铁距离,周边学校数量,周边医院数量,人均GDP,人口密度,房屋类型,装修情况,单价,总价
揭阳,101.9,18.5,7,8,12.81,1.39,2,3,116311,919,住宅,精装,5863,597640
中山,81.3,7.3,17,21,11.5,0.52,3,1,101429,1046,住宅,豪装,25173,2045854
阳江,100.4,12.1,29,33,57.18,1.14,2,3,60877,323,别墅,简装,3000,301227
江门,64.6,2.2,2,13,14.29,4.89,1,0,69299,834,住宅,简装,8767,566627
东莞,103.9,0.1,29,30,5.36,0.32,2,1,87897,583,住宅,简装,29385,3051863
河源,99.7,7.4,25,26,16.99,1.58,2,3,57966,791,住宅,精装,5079,506264
阳江,132.2,7.0,2,21,18.04,0.2,5,2,80495,1170,公寓,简装,7245,958139
广州,45.7,0.7,10,33,7.03,0.63,4,4,75809,710,公寓,精装,50750,2317373
云浮,72.9,24.7,13,22,12.49,1.03,2,1,57000,896,住宅,精装,4218,307573
珠海,74.1,12.8,5,29,9.52,0.04,3,3,46607,591,公寓,简装,21523,1595698
清远,146.9,12.3,14,33,34.52,0.67,3,2,62208,677,住宅,精装,3000,440652
惠州,88.6,14.8,22,24,1.12,2.01,4,1,65203,773,住宅,简装,18659,1654040
梅州,114.9,8.4,19,34,12.86,0.97,1,4,92129,1066,别墅,精装,11822,1358794
茂名,103.6,16.6,28,31,15.45,1.67,2,0,104623,1541,住宅,简装,5902,611756
清远,114.7,2.6,11,22,2.7,0.38,5,1,42766,1033,住宅,简装,8748,1003503
肇庆,102.7,0.6,23,30,0.95,5.69,5,5,101864,769,住宅,简装,12752,1309086
韶关,130.6,3.8,4,33,16.17,2.55,2,1,121722,1092,住宅,简装,7725,1008994
梅州,105.8,11.1,15,26,13.43,2.65,4,2,101189,288,公寓,精装,4445,470454
云浮,110.1,4.9,14,19,5.71,2.05,1,2,69174,545,公寓,精装,5317,585660
肇庆,95.2,10.6,26,27,3.75,0.79,2,6,69793,1257,住宅,精装,14582,1388811
汕头,67.6,3.1,4,4,1.76,3.34,8,2,80738,297,别墅,简装,11603,784033
肇庆,68.7,13.9,17,19,2.95,0.94,2,5,70133,883,公寓,毛坯,7210,495651
中山,94.1,3.6,6,18,2.87,3.14,6,1,86683,715,公寓,精装,21593,2031207
佛山,72.4,5.3,6,26,5.08,1.8,1,0,57541,837,别墅,简装,28652,2074627
江门,59.7,6.4,17,30,14.17,5.41,2,1,80845,484,住宅,简装,7721,460806
汕头,125.5,20.1,18,27,4.11,4.45,5,4,54079,409,住宅,简装,5475,687401
东莞,104.8,15.2,29,33,11.01,1.02,3,4,63712,1399,住宅,精装,19736,2068632
江门,114.6,13.0,25,33,1.81,0.18,5,2,64912,795,公寓,精装,13103,1501588
广州,138.6,13.4,8,29,5.91,1.71,3,4,117615,1203,公寓,简装,53954,7480333
云浮,51.6,0.1,15,34,24.19,1.2,5,0,112881,640,住宅,精装,4430,228700
揭阳,68.2,6.0,28,32,32.37,0.18,4,5,57919,673,公寓,精装,3000,204556
汕尾,95.6,20.9,14,29,5.86,8.06,1,0,47884,958,住宅,精装,3353,320587
清远,115.6,23.2,25,33,9.36,0.05,2,0,74755,977,住宅,精装,6546,756600
汕尾,82.2,29.3,18,20,44.25,0.92,0,3,77505,879,住宅,精装,3000,246606
河源,125.1,6.2,20,24,13.09,4.03,3,0,88010,636,住宅,简装,5215,652198
珠海,63.5,0.8,7,23,20.96,0.91,5,2,42964,721,住宅,毛坯,16667,1057607
韶关,98.6,3.2,22,31,6.96,2.44,3,1,95583,1022,住宅,简装,7621,751373
中山,42.3,6.0,17,34,45.1,1.96,5,2,81015,422,住宅,毛坯,3000,127047
潮州,90.3,5.0,4,21,5.38,0.45,6,1,71875,759,住宅,精装,8342,753689
佛山,110.0,25.5,3,25,15.96,0.09,1,0,40177,1327,住宅,精装,12344,1357837
阳江,107.7,4.2,1,4,41.67,0.01,3,1,56357,899,公寓,精装,3000,323016
深圳,123.8,2.4,4,15,0.03,0.86,1,1,95829,1504,住宅,毛坯,101231,12534291
茂名,84.9,4.0,2,29,13.31,1.65,5,3,77293,1077,公寓,豪装,7094,602636
中山,79.4,4.4,28,33,64.56,1.13,2,1,76066,940,住宅,精装,3000,238262
汕尾,86.1,5.6,15,21,11.71,0.5,3,2,67681,358,住宅,豪装,7199,619655
佛山,118.5,2.2,10,19,30.7,0.01,3,3,100852,539,住宅,精装,13299,1575514
广州,72.7,10.6,17,25,11.3,0.02,2,2,50808,817,住宅,豪装,35527,2584604
广州,126.5,18.1,15,20,44.27,0.28,0,1,76108,625,住宅,精装,4658,589190
中山,100.5,30.0,30,33,15.4,6.97,2,2,53173,421,住宅,精装,4633,465862
阳江,114.1,0.2,15,33,20.64,1.18,3,4,97469,1372,住宅,精装,8829,1006976
东莞,71.7,9.7,30,31,9.36,0.04,3,1,62648,490,住宅,精装,20297,1455200
惠州,60.6,9.0,26,29,5.99,1.69,4,1,99162,731,住宅,简装,17216,1043160
云浮,41.3,1.8,4,21,16.49,1.19,3,2,89610,374,住宅,简装,4846,200248
东莞,103.7,10.7,26,33,14.84,1.78,4,2,95155,747,住宅,精装,21432,2223332
汕尾,94.6,3.6,13,32,31.39,2.41,4,4,63364,618,住宅,精装,4017,380240
广州,82.5,6.7,2,18,32.16,0.41,2,0,118313,557,别墅,精装,30205,2491358
深圳,111.8,9.4,27,28,23.91,0.85,3,3,70657,769,公寓,精装,36037,4030515
江门,40.0,11.0,27,27,21.09,0.52,4,3,58779,1159,住宅,毛坯,7385,295403
珠海,134.0,8.6,17,34,11.32,3.71,2,2,65719,661,住宅,精装,24298,3255867
广州,127.1,9.5,16,34,14.38,0.2,5,2,75835,1327,住宅,豪装,55444,7045797
云浮,87.7,9.9,2,5,15.62,1.62,4,2,64705,813,住宅,豪装,4686,410959
清远,131.5,1.0,4,22,0.92,0.76,5,2,100693,866,公寓,精装,14944,1965832
韶关,86.6,0.9,28,29,19.55,4.54,1,2,94768,1236,公寓,简装,3965,343308
东莞,135.8,24.6,7,30,4.38,5.62,3,3,78605,1051,住宅,精装,18871,2562898
佛山,92.9,4.2,9,17,2.61,0.06,3,1,84723,1078,住宅,毛坯,29748,2763079
佛山,124.0,1.0,6,22,3.33,2.72,3,5,118550,389,住宅,毛坯,22491,2789724
韶关,103.2,16.6,7,14,16.8,1.88,0,3,101810,1488,公寓,简装,5876,606539
珠海,115.7,0.9,6,21,10.18,0.96,2,3,57987,684,住宅,精装,31670,3663133
云浮,146.2,3.8,23,33,28.74,0.5,1,1,88696,304,住宅,精装,3488,509949
佛山,109.5,1.1,28,32,0.86,4.33,2,2,104936,436,公寓,简装,12918,1414382
云浮,65.5,5.5,30,30,6.25,0.99,2,3,131189,1020,住宅,精装,7801,510763
佛山,61.4,2.1,8,34,23.2,0.75,1,2,57564,635,住宅,简装,11227,689674
茂名,70.1,19.2,15,29,2.68,4.1,1,2,91831,1148,住宅,毛坯,6610,463519
茂名,66.7,2.1,18,27,12.83,0.8,3,1,63243,538,住宅,精装,7135,475977
潮州,103.7,13.5,10,12,24.37,4.23,6,1,53605,544,公寓,毛坯,3000,311194
东莞,121.0,2.3,12,31,75.98,0.27,2,4,101626,828,住宅,精装,3000,362910
云浮,76.8,6.0,28,30,9.37,1.1,3,3,44698,956,住宅,毛坯,4795,368405
河源,60.7,1.7,28,34,0.11,3.39,4,0,82396,564,住宅,豪装,9382,569586
江门,93.6,0.2,7,11,18.01,1.22,2,2,83642,1006,住宅,精装,13561,1269561
河源,40.0,3.0,29,30,32.42,2.57,4,4,93196,808,住宅,精装,3051,122064
广州,94.4,5.0,28,34,1.64,0.58,2,2,92803,650,公寓,精装,53830,5080881
潮州,119.1,1.0,18,32,2.62,0.21,5,1,112602,995,住宅,毛坯,11809,1406181
汕尾,96.9,11.4,17,32,3.59,0.22,5,0,60332,452,住宅,简装,7323,709319
汕尾,84.1,7.7,4,19,37.37,3.04,4,0,96616,765,住宅,精装,3000,252307
汕头,79.5,1.0,29,29,37.37,2.71,3,4,85065,1195,住宅,毛坯,3030,241037
广州,86.3,10.9,18,26,15.77,1.0,1,1,94316,540,公寓,精装,29950,2584426
东莞,128.1,14.7,8,21,16.17,1.71,0,1,103091,738,住宅,精装,18560,2377885
肇庆,74.5,19.3,26,28,15.83,1.33,8,2,61447,628,住宅,简装,7407,551483
深圳,41.3,8.6,17,19,13.96,1.34,1,1,100142,1337,公寓,毛坯,36449,1506428
肇庆,94.0,4.5,26,34,26.87,3.24,2,3,73685,968,住宅,毛坯,4138,389085
湛江,54.1,8.6,24,25,27.58,0.32,5,1,128753,270,公寓,精装,4130,223646
深圳,58.4,3.9,18,25,14.86,0.32,5,1,56956,867,住宅,毛坯,50431,2945052
珠海,180.2,9.7,8,8,8.56,1.04,2,2,44147,1075,住宅,简装,20692,3727874
中山,40.0,0.9,6,22,0.68,2.77,1,1,70435,760,住宅,毛坯,15906,636249
梅州,50.7,5.4,22,22,11.04,0.67,2,1,75717,599,公寓,精装,4838,245374
广州,50.7,5.7,6,21,16.18,0.68,1,3,86530,998,公寓,精装,38112,1932170
梅州,84.1,5.5,19,19,5.58,4.09,2,0,83573,1101,公寓,精装,6059,509904
佛山,119.8,0.6,25,31,1.48,0.76,4,3,45475,794,公寓,毛坯,17418,2086080
东莞,118.5,6.7,15,31,12.77,7.59,2,1,98480,462,住宅,精装,14594,1729200
清远,99.8,4.2,27,27,59.41,2.07,6,2,102566,939,住宅,精装,3000,299446
阳江,92.3,1.9,12,27,32.09,0.56,1,1,100409,100,公寓,简装,3000,276882
阳江,113.0,2.8,12,31,24.11,0.65,2,3,80892,900,住宅,简装,5206,588544
佛山,92.6,11.8,12,18,18.0,2.36,4,1,73359,863,公寓,精装,12304,1139339
云浮,96.9,9.7,3,25,0.19,0.49,2,1,79621,1366,住宅,精装,8764,849024
河源,159.1,1.3,8,29,3.43,0.55,3,2,73269,815,住宅,豪装,12062,1918594
深圳,88.5,3.7,22,28,2.48,0.3,1,1,98713,825,别墅,简装,120342,10654208
惠州,40.0,1.6,16,34,18.56,2.26,7,0,70518,608,住宅,简装,13131,525255
潮州,106.5,5.9,10,31,2.85,0.6,5,2,103199,835,住宅,简装,9533,1014890
湛江,111.2,6.4,5,19,6.24,1.82,7,1,58957,876,别墅,简装,11914,1324853
韶关,54.3,18.3,2,7,3.49,0.61,2,3,100167,474,住宅,精装,8300,450421
深圳,121.6,1.1,15,27,10.18,2.01,1,2,121003,163,住宅,简装,54231,6592034
韶关,81.9,1.5,19,33,6.61,0.99,5,4,82460,1479,住宅,精装,11935,977104
中山,40.0,7.4,20,33,0.66,18.28,1,6,97457,1018,住宅,精装,3000,120000
深圳,153.5,0.6,2,16,2.25,1.08,3,4,83066,591,住宅,简装,77178,11846746
中山,113.9,3.1,25,34,44.32,2.03,3,0,52376,1091,公寓,豪装,3000,341777
阳江,122.1,1.6,30,31,7.13,3.92,1,2,70655,521,住宅,简装,7319,893597
潮州,111.6,7.0,28,33,18.14,2.54,2,3,30000,391,公寓,精装,3481,388417
深圳,88.5,15.0,2,17,11.18,2.28,5,4,44367,509,公寓,精装,28286,2502677
揭阳,44.9,1.7,18,29,17.08,0.61,5,1,102165,697,住宅,毛坯,5291,237779
韶关,87.9,8.2,21,26,31.7,0.09,2,6,76361,736,住宅,毛坯,3000,263623
广州,118.3,0.1,17,32,3.01,6.66,2,2,71492,708,住宅,精装,41911,4956966
阳江,89.8,3.1,8,16,4.86,2.13,3,2,57690,610,住宅,精装,6721,603361
茂名,141.7,11.3,16,25,45.07,2.52,3,1,83740,1021,公寓,毛坯,3000,425144
潮州,95.4,5.3,12,20,23.34,0.8,2,1,71360,444,住宅,精装,5144,491043
东莞,100.5,1.5,16,28,3.08,2.9,3,1,75041,638,住宅,精装,28653,2880921
佛山,91.1,14.1,19,32,24.69,2.14,2,1,89226,807,住宅,豪装,13066,1190172
汕头,187.6,5.1,26,28,50.93,2.02,5,4,88485,1207,住宅,精装,3000,562858
茂名,167.4,0.9,21,33,12.77,0.33,3,0,110340,236,住宅,豪装,8940,1496742
东莞,113.2,20.3,30,32,1.67,9.51,1,2,71406,828,住宅,精装,13731,1553736
茂名,96.8,17.2,22,32,7.79,5.21,3,0,72046,1252,公寓,精装,3868,374401
东莞,129.4,18.1,19,23,31.75,1.74,4,3,78702,477,公寓,简装,7763,1004607
揭阳,83.8,10.5,25,29,24.85,5.64,1,2,55024,770,住宅,简装,3000,251424
佛山,55.2,4.7,16,33,0.26,1.48,1,1,122101,502,住宅,精装,25744,1422242
深圳,130.5,4.8,2,8,8.37,2.42,3,1,90139,425,住宅,精装,58749,7665986
韶关,77.7,30.0,27,29,7.65,3.61,4,4,104409,498,住宅,精装,4629,359676
云浮,98.1,4.3,19,25,8.17,0.43,5,2,74638,649,住宅,简装,6684,655717
深圳,123.1,4.6,12,14,3.41,0.66,1,2,76147,497,住宅,豪装,70667,8698511
汕尾,74.8,3.4,1,34,5.18,1.58,2,3,76708,588,住宅,简装,7760,580693
惠州,156.5,7.1,24,28,1.02,0.57,1,1,82162,869,住宅,豪装,22364,3501203
惠州,115.4,8.4,18,21,27.38,0.91,3,1,76359,279,住宅,精装,6050,698423
清远,107.2,3.2,21,26,18.86,4.4,6,2,69990,524,住宅,豪装,5238,561451
惠州,51.0,1.4,26,27,15.24,3.82,2,2,79294,1162,住宅,简装,13188,672001
潮州,99.5,7.0,3,10,11.94,0.44,3,2,99366,707,公寓,简装,6665,663367
阳江,104.6,2.4,22,30,47.52,2.94,3,0,112950,1049,住宅,豪装,3000,313701
清远,66.6,1.6,2,19,1.64,1.57,3,4,109009,741,住宅,毛坯,10021,667772
惠州,127.3,0.1,3,24,17.53,0.14,5,0,58009,582,住宅,简装,15844,2017383
清远,127.6,1.7,24,33,20.99,2.38,3,0,43008,470,住宅,简装,5301,676606
肇庆,126.7,5.1,30,33,3.56,1.62,2,2,84148,751,住宅,豪装,20322,2573868
汕头,106.9,2.0,29,30,2.05,1.29,2,2,71442,755,公寓,毛坯,9295,993621
肇庆,66.4,4.2,11,14,8.73,0.87,3,5,69324,1196,住宅,简装,13415,890604
汕头,63.4,0.3,18,22,18.3,3.81,4,2,94535,1182,住宅,简装,5476,347132
珠海,70.1,0.4,4,22,13.08,3.08,1,4,70181,862,住宅,毛坯,18145,1271316
珠海,110.7,5.8,9,25,16.79,1.1,4,1,67689,600,公寓,豪装,20661,2286150
中山,101.1,8.1,4,21,8.54,0.43,4,0,51783,823,公寓,毛坯,15075,1524169
潮州,171.4,15.8,4,13,7.83,4.02,3,0,114246,678,公寓,精装,5460,935818
潮州,108.5,19.9,19,26,1.64,1.22,3,4,56376,954,住宅,精装,6246,677994
云浮,52.7,11.3,21,34,38.58,3.06,5,2,81581,929,住宅,毛坯,3000,158140
佛山,134.2,3.8,6,22,7.84,2.1,7,5,65733,1122,住宅,精装,32736,4392218
中山,89.9,7.9,15,30,9.78,0.52,2,3,84789,904,住宅,简装,19038,1712518
茂名,109.9,12.2,4,13,0.78,4.46,3,2,109656,839,住宅,精装,9492,1043108
云浮,88.2,0.6,8,33,7.5,0.64,0,3,45401,976,住宅,简装,5310,468413
韶关,114.9,3.8,6,11,13.66,5.23,3,1,84563,755,住宅,简装,6112,702059
广州,108.9,9.1,15,29,15.5,1.01,4,6,56649,1234,住宅,简装,31906,3474992
佛山,100.1,2.7,27,32,7.64,3.08,2,3,57276,1137,住宅,精装,20607,2062372
江门,68.9,0.4,15,22,1.64,0.85,0,1,73339,1146,住宅,简装,16479,1135147
梅州,101.8,1.4,12,15,29.98,0.67,5,1,64543,777,住宅,精装,3663,372826
河源,40.0,5.0,29,31,8.65,0.89,4,2,69144,954,住宅,精装,9015,360628
深圳,52.2,14.1,16,33,14.16,4.81,2,2,61838,700,住宅,精装,38261,1995629
东莞,68.4,3.9,23,31,3.17,0.01,2,3,79516,997,住宅,毛坯,29087,1990308
河源,122.7,4.4,17,31,17.49,0.91,6,4,50042,607,住宅,毛坯,4105,503556
汕尾,98.6,1.1,28,29,18.56,1.5,1,2,103783,935,住宅,精装,6876,677935
江门,166.1,4.3,29,34,0.75,2.73,4,2,97120,1133,公寓,精装,18596,3087956
阳江,49.8,12.8,14,27,1.94,0.41,3,4,82924,606,住宅,简装,7795,388153
阳江,89.1,8.0,13,34,61.74,1.4,1,0,95834,607,住宅,毛坯,3000,267404
惠州,57.9,1.1,25,25,12.65,2.14,2,0,118179,814,公寓,毛坯,11409,660971
清远,83.9,30.0,23,30,16.07,1.69,5,2,124416,1169,住宅,精装,5633,472905
东莞,129.4,5.5,13,16,9.37,7.6,2,1,50035,951,住宅,简装,15417,1994910
汕头,85.9,2.3,15,33,24.85,3.44,1,0,91443,1026,住宅,精装,5759,494492
广州,76.6,30.0,29,29,7.08,0.72,2,3,51009,633,住宅,精装,23573,1806848
肇庆,110.6,19.4,24,30,5.46,1.77,3,0,70142,1035,公寓,豪装,10773,1191852
东莞,86.0,18.7,25,25,17.2,1.51,1,4,71405,595,住宅,毛坯,10598,911057
珠海,85.1,4.3,19,24,13.34,1.6,2,1,51863,592,公寓,简装,20099,1711269
揭阳,94.1,10.3,15,28,3.67,2.85,5,2,66962,1276,公寓,精装,6411,603307
阳江,140.4,8.2,20,22,1.51,0.08,3,3,76922,703,住宅,毛坯,8054,1130571
阳江,87.8,8.0,14,18,12.0,0.58,1,3,74537,869,住宅,豪装,8807,773469
河源,103.8,2.3,25,33,4.33,0.81,4,1,67063,631,公寓,毛坯,5358,556363
河源,94.5,2.6,22,27,9.01,1.14,1,3,58828,841,公寓,简装,5563,525705
深圳,130.1,21.9,27,28,3.2,0.14,3,1,99724,314,住宅,精装,58325,7586226
汕尾,82.0,1.1,5,7,12.5,4.64,6,0,43397,1278,公寓,毛坯,4790,392716
河源,56.6,8.7,7,15,35.18,0.52,3,1,75576,812,住宅,精装,3000,169801
潮州,56.4,0.3,12,33,9.22,4.76,1,0,56656,203,住宅,精装,4276,241376
湛江,114.2,3.4,14,14,40.74,0.08,4,2,59836,736,住宅,简装,3000,342596
珠海,75.6,1.1,17,32,2.34,0.46,4,2,68152,1175,公寓,精装,40312,3047864
阳江,87.2,16.9,25,34,0.64,9.03,0,2,79179,679,别墅,简装,5426,472900
河源,147.5,10.8,3,18,6.16,0.24,2,0,91305,671,住宅,豪装,9135,1347404
惠州,101.7,4.4,2,31,3.76,1.17,3,2,88656,772,公寓,简装,16860,1715120
阳江,80.9,7.6,17,22,6.53,0.55,4,3,76164,1196,公寓,毛坯,7037,569376
汕尾,125.6,17.7,7,9,50.4,6.44,3,1,119149,612,公寓,精装,3000,376800
中山,59.0,4.9,1,32,4.03,3.57,1,1,100030,1226,住宅,精装,16207,955428
韶关,132.5,1.4,16,20,4.26,6.44,1,5,106149,444,公寓,毛坯,5615,743844
珠海,121.2,2.4,23,26,82.32,3.19,2,1,58531,1129,住宅,精装,3000,363509
潮州,92.9,6.6,2,7,4.45,1.89,2,3,89875,475,公寓,简装,7196,668898
阳江,72.6,5.3,6,26,14.22,6.04,5,1,71156,1533,住宅,毛坯,5485,398274
佛山,58.4,8.7,30,31,0.71,0.35,2,5,85151,989,住宅,简装,23775,1388191
茂名,98.9,6.0,20,28,7.18,4.78,4,1,32726,1381,公寓,毛坯,4140,409363
湛江,54.2,18.0,26,33,2.14,3.79,4,2,75742,701,住宅,简装,5518,299090
东莞,103.6,8.3,23,34,7.37,1.09,5,5,109614,1441,住宅,精装,29765,3084485
湛江,91.8,2.6,9,28,17.27,0.75,4,5,97396,1189,公寓,精装,9624,883501
梅州,90.4,9.4,9,17,51.52,0.21,3,0,86376,910,住宅,简装,3000,271157
东莞,76.5,23.3,2,27,35.0,0.17,2,3,80462,1304,住宅,精装,7395,565768
汕尾,66.1,6.3,22,27,7.42,2.23,1,2,67327,657,公寓,豪装,7885,521395
揭阳,57.9,12.2,30,34,0.99,4.17,4,1,87848,1106,住宅,精装,6721,389220
汕头,103.0,9.5,6,7,15.04,3.26,5,3,90074,1040,住宅,简装,6631,682933
茂名,69.3,0.0,9,20,32.13,0.5,2,4,110754,399,住宅,简装,4161,288600
珠海,77.9,2.7,8,9,7.02,3.06,3,3,90971,318,公寓,精装,25745,2005949
江门,62.6,0.1,15,18,5.67,8.47,3,3,71555,258,公寓,简装,6276,393121
汕尾,80.7,12.6,28,28,0.51,0.89,5,0,74537,473,公寓,简装,5166,416866
中山,86.4,11.5,9,13,4.07,1.12,2,3,78579,1193,住宅,毛坯,16374,1414880
阳江,92.4,1.4,28,33,50.52,0.66,4,1,104223,826,住宅,简装,3000,277159
汕头,61.7,2.3,26,27,22.62,1.66,5,1,85768,854,住宅,简装,7538,465134
阳江,58.9,7.3,9,13,18.85,3.28,3,3,122350,598,住宅,毛坯,4511,265834
深圳,128.5,1.4,15,18,19.02,0.34,3,1,74120,267,住宅,精装,53699,6898160
阳江,101.5,5.9,16,29,6.29,1.68,3,0,100136,560,住宅,简装,6344,644311
肇庆,40.0,8.3,18,31,10.71,8.67,1,1,57121,609,住宅,简装,4806,192248
肇庆,83.8,17.4,18,28,24.2,1.23,2,2,66220,1439,住宅,简装,7058,591709
东莞,161.2,2.4,6,13,4.14,1.18,1,1,65423,943,住宅,精装,31568,5090245
梅州,129.7,14.4,19,28,0.26,7.28,3,1,90073,1158,住宅,简装,5814,753947
潮州,64.6,1.1,10,14,37.42,2.59,1,0,81245,381,公寓,毛坯,3000,193902
茂名,109.4,20.2,22,24,7.55,11.5,3,1,66141,568,住宅,简装,3000,328073
江门,110.4,0.8,14,17,8.6,3.83,7,3,52945,661,住宅,精装,11323,1250360
佛山,77.3,5.1,24,29,9.48,1.07,3,3,69065,584,住宅,简装,20111,1554049
韶关,63.4,8.4,6,9,5.2,1.2,2,3,85752,898,公寓,豪装,9254,586713
揭阳,92.3,7.7,27,27,29.6,0.49,1,5,54621,955,住宅,精装,3000,276929
深圳,106.7,11.0,24,25,14.82,4.62,3,4,101957,756,住宅,豪装,52220,5573246
汕尾,73.5,17.3,17,27,27.4,2.61,3,1,84343,675,住宅,精装,3280,241262
韶关,64.5,1.8,4,12,10.83,0.47,4,2,59553,396,公寓,简装,6304,406848
佛山,76.8,9.4,11,32,6.61,0.53,4,3,49125,711,住宅,简装,20367,1565192
广州,111.4,1.8,15,32,8.41,10.62,1,0,67554,732,住宅,精装,25255,2813058
云浮,101.4,2.3,19,29,20.49,1.34,1,2,85276,1298,住宅,简装,5051,512365
云浮,133.0,3.1,13,30,17.08,1.72,3,2,65451,740,别墅,简装,7128,948119
韶关,137.1,1.6,18,31,13.32,0.9,4,3,61211,734,住宅,豪装,9461,1297378
韶关,150.7,14.1,4,17,32.13,6.84,3,4,87564,810,公寓,简装,3000,451960
清远,51.9,1.0,8,19,1.24,1.77,0,0,82662,1459,住宅,精装,13204,685577
汕头,110.1,1.1,23,34,16.73,0.08,9,2,95349,847,公寓,豪装,12027,1324517
惠州,78.7,4.7,6,10,4.69,1.13,4,3,96517,820,住宅,毛坯,21703,1707717
江门,50.8,2.3,12,18,25.11,2.72,5,2,72713,1100,住宅,简装,9830,499088
珠海,71.6,4.8,18,34,50.91,0.9,2,3,70234,795,住宅,简装,3000,214727
潮州,65.8,10.6,16,32,8.3,5.17,1,0,89321,952,住宅,毛坯,5142,338543
肇庆,46.9,2.4,21,22,10.86,2.61,0,2,74072,907,住宅,精装,10049,471145
佛山,57.7,1.8,14,18,14.04,2.91,5,2,77875,987,公寓,毛坯,15574,897980
汕头,57.5,18.7,19,29,16.01,3.13,4,1,94588,784,住宅,毛坯,4697,270049
韶关,49.8,6.1,23,26,3.59,1.65,3,0,59840,888,公寓,简装,7592,378471
深圳,85.9,0.8,7,10,10.76,1.99,5,2,105628,869,公寓,精装,64448,5537419
揭阳,100.7,14.4,30,30,26.82,3.07,0,1,53883,988,住宅,简装,3000,302018
惠州,112.1,1.9,19,31,12.69,4.91,2,0,66146,542,住宅,豪装,14113,1582594
汕头,83.3,2.0,17,28,0.5,3.35,6,2,84065,632,住宅,精装,11840,985977
阳江,92.4,8.2,29,30,35.22,1.68,5,5,96805,586,住宅,精装,3000,277316
韶关,106.5,3.5,20,26,20.98,2.59,8,0,100155,913,住宅,简装,4790,510052
东莞,56.6,12.9,24,29,12.79,0.32,4,4,82121,1085,公寓,精装,21679,1227946
韶关,98.1,8.1,16,31,5.18,0.73,0,0,89970,827,住宅,简装,8427,827124
潮州,68.9,2.1,27,33,19.58,0.4,1,0,108048,830,住宅,毛坯,5173,356244
深圳,40.0,11.9,7,33,8.52,6.59,5,2,98713,477,住宅,豪装,51613,2064558
阳江,66.0,2.5,19,21,9.65,0.14,1,1,67653,324,住宅,精装,5901,389740
惠州,88.3,1.4,13,24,1.55,1.48,5,1,85887,523,住宅,精装,26379,2330577
肇庆,47.9,0.2,17,22,38.5,1.81,4,0,104645,1345,公寓,精装,4149,198715
潮州,116.0,1.9,23,26,22.45,6.13,1,1,103175,1545,住宅,精装,4734,549119
汕尾,105.9,4.4,7,28,12.51,3.05,0,5,55552,1049,住宅,简装,5926,627369
梅州,40.0,4.4,16,23,29.11,1.48,2,2,90808,631,住宅,简装,3000,120000
佛山,76.0,5.6,27,30,3.96,2.54,3,5,101133,677,住宅,毛坯,23869,1814260
韶关,113.9,7.2,12,23,10.58,1.42,5,0,47418,693,住宅,精装,6657,758165
汕头,44.1,12.3,18,27,3.17,0.86,2,1,87346,1036,住宅,简装,11424,504377
潮州,120.5,3.6,20,28,12.59,1.36,3,4,113065,771,住宅,毛坯,8478,1021811
揭阳,67.9,3.7,27,28,1.83,3.61,2,0,96710,535,住宅,毛坯,5213,354086
广州,62.8,11.3,3,22,23.99,0.42,3,1,85749,454,住宅,毛坯,19985,1255106
揭阳,109.0,30.0,18,19,21.62,2.98,3,1,52553,498,住宅,毛坯,3000,326932
东莞,96.8,4.0,29,34,15.52,0.3,2,2,96544,682,公寓,精装,21163,2048538
梅州,115.7,30.0,28,31,24.62,2.77,6,3,71584,579,住宅,精装,3000,347086
阳江,135.3,6.3,1,21,3.27,9.24,3,1,72507,545,别墅,简装,7589,1027091
广州,85.8,17.3,11,13,0.33,0.89,4,1,66973,679,住宅,精装,44987,3858959
河源,98.3,5.2,18,28,10.99,3.43,5,2,45285,388,住宅,精装,5493,540175
韶关,55.6,0.5,25,26,7.5,2.41,0,3,38366,813,公寓,简装,5146,286260
佛山,137.4,4.2,8,30,17.76,6.08,2,0,106423,553,住宅,精装,15064,2070009
惠州,60.2,9.0,6,7,19.86,5.08,2,5,50933,1002,住宅,精装,10300,620101
汕头,115.0,21.0,4,12,13.06,0.23,2,0,93475,838,住宅,简装,6758,777220
汕尾,104.1,3.1,13,34,15.85,1.64,4,1,69750,536,住宅,精装,6796,707193
惠州,74.2,8.6,17,34,23.06,0.56,5,2,102179,1143,住宅,简装,14028,1041251
珠海,130.8,2.3,6,15,39.34,0.45,5,2,88166,470,住宅,毛坯,7909,1034405
广州,105.4,1.3,14,26,6.73,0.31,0,1,52689,1094,住宅,简装,40746,4296335
韶关,101.5,0.6,4,15,0.66,0.44,3,3,80646,1028,住宅,精装,13719,1392666
中山,120.6,3.8,21,34,30.67,0.48,4,5,86713,886,别墅,豪装,25347,3057076
茂名,80.7,1.3,26,34,2.58,1.02,2,2,121728,993,住宅,简装,10839,874778
佛山,124.6,17.0,8,33,1.5,0.29,2,3,65229,692,住宅,毛坯,18709,2331051
茂名,78.3,3.4,28,33,18.51,1.68,5,4,108952,865,公寓,简装,6531,511104
梅州,90.3,4.1,22,34,1.91,0.36,4,1,41802,644,公寓,精装,7605,686585
深圳,78.9,1.6,21,21,18.95,3.59,0,2,96490,244,住宅,简装,37134,2928918
汕尾,76.9,8.0,20,20,4.88,4.57,4,2,73302,367,公寓,简装,4561,350721
